_id,userid,prizeid,status,receiveoption,createdtm
595687cde4b0d74b13f63917,593bb2cae4b024ae2fe570d9,1498463411679,WAITING,DELIVERY,2017-07-01 00:18:05
59568931e4b0f93e9119cc95,5945552ee4b0db45c711c290,1498483110946,WAITING,DELIVERY,2017-07-01 00:24:01
595683fde4b0cc171ed72e3a,592f8edbe4b0a4ee112c5813,1498462885172,WAITING,DELIVERY,2017-07-01 00:01:49
59569e2ae4b03f87dbd92b60,5950fa79e4b0b130040351bf,1498483110946,WAITING,DELIVERY,2017-07-01 01:53:30
59569d1ee4b0e9517d6bad98,5950fa79e4b0b130040351bf,1498483110946,WAITING,DELIVERY,2017-07-01 01:49:02
5956ddd3e4b0d5a5c805cdae,592f8edbe4b0a4ee112c5813,1498462885172,WAITING,DELIVERY,2017-07-01 06:25:07
5956ecb9e4b0e9517d6baee2,592db0f5e4b0a4ee112b8abf,1498462885172,WAITING,DELIVERY,2017-07-01 07:28:41
59570fe3e4b007e80dc140bd,593fcd11e4b09485024fdf3b,1498447694156,WAITING,DELIVERY,2017-07-01 09:58:43
59571022e4b0f93e9119d0e5,593fcd11e4b09485024fdf3b,1498461455280,WAITING,DELIVERY,2017-07-01 09:59:46
5957290ae4b0d5a5c805d330,594d2e5de4b0db45c712cbc1,1498801602965,WAITING,USERRECV,2017-07-01 11:46:02
59572703e4b0e9517d6bb32e,592e1b3de4b09c162d70ab45,1498801602965,WAITING,USERRECV,2017-07-01 11:37:23
59572362e4b03f87dbd9302f,592db2b9e4b0a4ee112b8b39,1498801602965,WAITING,USERRECV,2017-07-01 11:21:54
595728d3e4b0e9517d6bb397,592e01ade4b0a4ee112b99db,1498801602965,WAITING,USERRECV,2017-07-01 11:45:07
59572b6be4b0d74b13f640f1,592e2f8be4b09c162d70be65,1498837653512,DELIVERED,USERRECV,2017-07-01 11:56:11
5957278ae4b0d5a5c805d2e4,59559529e4b0f93e9119bd4b,1498801602965,WAITING,USERRECV,2017-07-01 11:39:38
59572b36e4b0f93e9119d418,595728b4e4b03f87dbd930f9,1498801602965,WAITING,USERRECV,2017-07-01 11:55:18
59572c15e4b01cb1aa777a19,59571dc8e4b0cc171ed734c0,1498801602965,WAITING,USERRECV,2017-07-01 11:59:01
595726d9e4b0d7f3f9e47871,592e1e6ae4b0a4ee112bad2f,1498837653512,DELIVERED,USERRECV,2017-07-01 11:36:41
59572979e4b0f93e9119d3b4,59550c23e4b0b13004041cb0,1498801602965,WAITING,USERRECV,2017-07-01 11:47:53
59572aa7e4b03f87dbd9313b,59572335e4b0cc171ed73585,1498801602965,WAITING,USERRECV,2017-07-01 11:52:55
59571eb3e4b0e9517d6bb232,592da070e4b09c162d70859a,1498801602965,WAITING,USERRECV,2017-07-01 11:01:55
59572997e4b007e80dc143c5,592e274ce4b0a4ee112bb4d7,1498801602965,WAITING,USERRECV,2017-07-01 11:48:23
59572966e4b03f87dbd93116,592e2f8be4b09c162d70be65,1498637637799,DELIVERED,USERRECV,2017-07-01 11:47:34
59572701e4b0cc171ed73631,59572525e4b0d74b13f64004,1498801602965,WAITING,USERRECV,2017-07-01 11:37:21
595729fde4b0e9517d6bb3c9,595727d4e4b0d5a5c805d2e9,1498801602965,WAITING,USERRECV,2017-07-01 11:50:05
59572466e4b0d7f3f9e47818,592db682e4b0a4ee112b8dca,1498801602965,WAITING,USERRECV,2017-07-01 11:26:14
595726b2e4b03f87dbd93082,5955e3b6e4b0cc171ed72318,1498801602965,WAITING,USERRECV,2017-07-01 11:36:02
5957296fe4b0cc171ed736d6,592da02be4b09c162d708589,1498801602965,WAITING,USERRECV,2017-07-01 11:47:43
595728d3e4b0d74b13f640a1,595727f7e4b0e9517d6bb35b,1498801602965,WAITING,USERRECV,2017-07-01 11:45:07
59572697e4b007e80dc14326,592fa56ee4b0a4ee112c6349,1498801602965,WAITING,USERRECV,2017-07-01 11:35:35
59572923e4b03f87dbd9310e,592e1dc2e4b0a4ee112bacdc,1498801602965,WAITING,USERRECV,2017-07-01 11:46:27
595726bbe4b0d5a5c805d2a0,593953c4e4b0ae0beba7d8ff,1498801602965,WAITING,USERRECV,2017-07-01 11:36:11
595726cfe4b007e80dc1432d,593ce043e4b024ae2fe5a39b,1498801602965,WAITING,USERRECV,2017-07-01 11:36:31
59572c6ae4b01cb1aa777a2e,59572b96e4b007e80dc1444a,1498801602965,WAITING,USERRECV,2017-07-01 12:00:26
595733bee4b0cc171ed738fe,592e0a73e4b0a4ee112b9de2,1498637637799,DELIVERED,USERRECV,2017-07-01 12:31:42
5956898fe4b0cc171ed72eaf,5945552ee4b0db45c711c290,1498483110946,WAITING,DELIVERY,2017-07-01 00:25:35
595689dfe4b0d7f3f9e4717f,5945552ee4b0db45c711c290,1498483110946,WAITING,DELIVERY,2017-07-01 00:26:55
5956895fe4b0cc171ed72ea7,5945552ee4b0db45c711c290,1498483110946,WAITING,DELIVERY,2017-07-01 00:24:47
59569da1e4b0f93e9119ce26,5950fa79e4b0b130040351bf,1498483110946,WAITING,DELIVERY,2017-07-01 01:51:13
59569dc9e4b007e80dc13ddc,5950fa79e4b0b130040351bf,1498483110946,WAITING,DELIVERY,2017-07-01 01:51:53
5956ece5e4b0d5a5c805ce32,592db0f5e4b0a4ee112b8abf,1498447694156,WAITING,DELIVERY,2017-07-01 07:29:25
59572c7ce4b0e9517d6bb449,59572b62e4b0d5a5c805d37e,1498801602965,WAITING,USERRECV,2017-07-01 12:00:44
595732bbe4b0cc171ed738d3,59314e14e4b0a4ee112ce922,1498837653512,DELIVERED,USERRECV,2017-07-01 12:27:23
595733a0e4b0cc171ed738fb,595732c6e4b007e80dc14592,1498801602965,WAITING,USERRECV,2017-07-01 12:31:12
59573552e4b03df509b8ffc4,592f1443e4b0a4ee112c418a,1498638173188,DELIVERED,USERRECV,2017-07-01 12:38:26
59573977e4b03df509b9007b,59573441e4b03df509b8ff85,1498837653512,DELIVERED,USERRECV,2017-07-01 12:56:07
59572a24e4b03df509b8fdfe,592e0048e4b0a4ee112b9913,1498837653512,DELIVERED,USERRECV,2017-07-01 11:50:44
